swept_param,value,macro_f1,iou_f1,token_f1,auprc,comprehensiveness,sufficiency,gmb_bpsn,mean_entropy
lambda,0.0,0.7761248517936417,0.28659890109942326,0.4734452803791142,0.5565975734581776,0.4399081528751137,0.1105713725527145,0.7474948542914924,2.9611259246453345
lambda,0.1,0.7659384830044962,0.3857275755334082,0.552562275634199,0.8072550281153208,0.4302986693387483,0.023927468894581243,0.6833799798525837,2.6716004235511854
lambda,0.3,0.779,0.404,0.571,0.860,0.497,0.077,0.736,2.3683015186429603
lambda,0.5,0.7794858473369163,0.40634108436927346,0.572365392197105,0.8644132261793349,0.5420242732035195,0.07042954625535737,0.7150328975277194,2.3421306325446696
lambda,1.0,0.7784398554084611,0.406936776097682,0.5807415515089547,0.883539111848942,0.5270298644786149,0.07467346844767365,0.6780993991003702,2.302148195697297
lambda,2.0,0.7799612152553329,0.4276089313089436,0.588306421164247,0.893877552177501,0.5321458331835268,0.07909386211128713,0.6758546634819462,2.252532371315925
margin,0.05,0.7753536959519048,0.35970691621487033,0.5392693125988681,0.8115117067007239,0.48018651896510306,0.1701910120260538,0.7211729879125689,2.6901937237954825
margin,0.1,0.779,0.404,0.571,0.860,0.497,0.077,0.736,2.3683015186429603
margin,0.2,0.7706346686275493,0.41041801372302905,0.5723073242428632,0.8575057022354364,0.5328003535016184,0.07193788822459778,0.6956591132778688,2.1229573857557673
margin,0.3,0.7673216549240576,0.411678522356167,0.5742944957717684,0.8695599817752265,0.5892743844414152,0.09573041042924618,0.6778857011727877,1.9186539819765114
margin,0.5,0.7690765282527312,0.4076482874352144,0.5744567009034504,0.8588800205102506,0.5104100010993902,0.05608368280707433,0.7392116332647255,1.4614528920052603
